Kreis; Gemeindeschluessel; Gemeindename; Gemarkungsschluessel; Gemarkungsname; Aktualitaet
Erzgebirgskreis; 14521240; Großolbersdorf; 8809; Großolbersdorf; aktuell
Erzgebirgskreis; 14521240; Großolbersdorf; 8812; Hohndorf; aktuell
Erzgebirgskreis; 14521240; Großolbersdorf; 8813; Hopfgarten; aktuell
Erzgebirgskreis; 14521240; Großolbersdorf; 8814; Grünau; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 5813; Großrückerswalde; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 5814; Boden; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 5815; Schindelbach; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 5825; Mauersberg; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 5830; Niederschmiedeberg; aktuell
Erzgebirgskreis; 14521250; Großrückerswalde; 8820; Streckewalde; aktuell
Erzgebirgskreis; 14521270; Grünhainichen; 3503; Borstendorf; aktuell
Erzgebirgskreis; 14521270; Grünhainichen; 3521; Grünhainichen; aktuell
Erzgebirgskreis; 14521270; Grünhainichen; 8823; Waldkirchen; aktuell
Erzgebirgskreis; 14521280; Heidersdorf; 5818; Heidersdorf; aktuell
Erzgebirgskreis; 14521290; Hohndorf; 7609; Hohndorf; aktuell
Erzgebirgskreis; 14521310; Jahnsdorf/Erzgeb.; 7612; Jahnsdorf; aktuell
Erzgebirgskreis; 14521310; Jahnsdorf/Erzgeb.; 7613; Leukersdorf; aktuell
Erzgebirgskreis; 14521310; Jahnsdorf/Erzgeb.; 7614; Seifersdorf; aktuell
Erzgebirgskreis; 14521310; Jahnsdorf/Erzgeb.; 7615; Pfaffenhain; aktuell
Erzgebirgskreis; 14521340; Königswalde; 1119; Königswalde; aktuell
Erzgebirgskreis; 14521400; Mildenau; 1104; Arnsfeld; aktuell
Erzgebirgskreis; 14521400; Mildenau; 1120; Mildenau; aktuell
Erzgebirgskreis; 14521410; Neukirchen/Erzgeb.; 2101; Adorf; aktuell
Erzgebirgskreis; 14521410; Neukirchen/Erzgeb.; 2134; Neukirchen; aktuell
Erzgebirgskreis; 14521420; Niederdorf; 7620; Niederdorf; aktuell
Erzgebirgskreis; 14521430; Niederwürschnitz; 7621; Niederwürschnitz; aktuell
Erzgebirgskreis; 14521500; Raschau-Markersbach; 7413; Markersbach; aktuell
Erzgebirgskreis; 14521500; Raschau-Markersbach; 7414; Mittweida; aktuell
Erzgebirgskreis; 14521500; Raschau-Markersbach; 7416; Raschau; aktuell
Erzgebirgskreis; 14521540; Schönheide; 1224; Schönheide; aktuell
Erzgebirgskreis; 14521560; Sehmatal; 1107; Cranzahl; aktuell
Erzgebirgskreis; 14521560; Sehmatal; 1121; Neudorf; aktuell
Erzgebirgskreis; 14521560; Sehmatal; 1122; Kretscham-Rothensehma; aktuell
Erzgebirgskreis; 14521560; Sehmatal; 1132; Sehma; aktuell
Erzgebirgskreis; 14521570; Seiffen/Erzgeb.; 5849; Seiffen; aktuell
Erzgebirgskreis; 14521570; Seiffen/Erzgeb.; 5850; Heidelberg; aktuell
Erzgebirgskreis; 14521570; Seiffen/Erzgeb.; 5851; Oberseiffenbach; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1101; Annaberg; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1102; Buchholz; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1103; Kleinrückerswalde; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1109; Cunersdorf; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1112; Frohnau; aktuell
Erzgebirgskreis; 14521020; Stadt Annaberg-Buchholz; 1114; Geyersdorf; aktuell
Erzgebirgskreis; 14521030; Stadt Aue; 1204; Aue; aktuell
Erzgebirgskreis; 14521030; Stadt Aue; 1205; Alberoda; aktuell
Erzgebirgskreis; 14521030; Stadt Aue; 1206; Auerhammer; aktuell
Erzgebirgskreis; 14521160; Stadt Ehrenfriedersdorf; 8803; Ehrenfriedersdorf; aktuell
Erzgebirgskreis; 14521170; Stadt Eibenstock; 1208; Blauenthal; aktuell
Erzgebirgskreis; 14521170; Stadt Eibenstock; 1211; Carlsfeld; aktuell
Erzgebirgskreis; 14521170; Stadt Eibenstock; 1212; Eibenstock; aktuell
Erzgebirgskreis; 14521170; Stadt Eibenstock; 1225; Sosa; aktuell
Erzgebirgskreis; 14521170; Stadt Eibenstock; 1228; Wildenthal; aktuell
Erzgebirgskreis; 14521180; Stadt Elterlein; 1111; Elterlein; aktuell
Erzgebirgskreis; 14521180; Stadt Elterlein; 1117; Hermannsdorf; aktuell
Erzgebirgskreis; 14521180; Stadt Elterlein; 1131; Schwarzbach; aktuell
Erzgebirgskreis; 14521210; Stadt Geyer; 1113; Geyer; aktuell
Erzgebirgskreis; 14521260; Stadt Grünhain-Beierfeld; 7402; Beierfeld; aktuell
Erzgebirgskreis; 14521260; Stadt Grünhain-Beierfeld; 7407; Grünhain; aktuell
Erzgebirgskreis; 14521260; Stadt Grünhain-Beierfeld; 7422; Waschleithe; aktuell
Erzgebirgskreis; 14521320; Stadt Johanngeorgenstadt; 7409; Johanngeorgenstadt; aktuell
Erzgebirgskreis; 14521320; Stadt Johanngeorgenstadt; 7410; Steinbach; aktuell
Erzgebirgskreis; 14521320; Stadt Johanngeorgenstadt; 7411; Oberjugel; aktuell
Erzgebirgskreis; 14521320; Stadt Johanngeorgenstadt; 7412; Unterjugel; aktuell
Erzgebirgskreis; 14521330; Stadt Jöhstadt; 1115; Grumbach; aktuell
Erzgebirgskreis; 14521330; Stadt Jöhstadt; 1118; Jöhstadt; aktuell
Erzgebirgskreis; 14521330; Stadt Jöhstadt; 1129; Schmalzgrube; aktuell
Erzgebirgskreis; 14521330; Stadt Jöhstadt; 1133; Steinbach; aktuell
Erzgebirgskreis; 14521330; Stadt Jöhstadt; 1134; Oberschmiedeberg; aktuell
Erzgebirgskreis; 14521355; Stadt Lauter-Bernsbach; 1207; Bernsbach; aktuell
Erzgebirgskreis; 14521355; Stadt Lauter-Bernsbach; 1214; Lauter; aktuell
Erzgebirgskreis; 14521370; Stadt Lößnitz; 1201; Affalter; aktuell
Erzgebirgskreis; 14521370; Stadt Lößnitz; 1202; Grüna; aktuell
Erzgebirgskreis; 14521370; Stadt Lößnitz; 1217; Lößnitz; aktuell
Erzgebirgskreis; 14521370; Stadt Lößnitz; 1218; Dittersdorf; aktuell
Erzgebirgskreis; 14521380; Stadt Lugau/Erzgeb.; 7606; Erlbach; aktuell
Erzgebirgskreis; 14521380; Stadt Lugau/Erzgeb.; 7607; Kirchberg; aktuell
Erzgebirgskreis; 14521380; Stadt Lugau/Erzgeb.; 7616; Lugau; aktuell
Erzgebirgskreis; 14521380; Stadt Lugau/Erzgeb.; 7628; Ursprung; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5801; Ansprung; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5802; Grundau; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5803; Sorgau; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5819; Kühnhaide; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5820; Lauta; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5821; Lauterbach; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5824; Marienberg; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5828; Niederlauterstein; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5839; Pobershau; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5843; Reitzenhain; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5844; Rittersberg; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5846; Rübenau; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5847; Einsiedel-Sensenhammer; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5848; Satzung; aktuell
Erzgebirgskreis; 14521390; Stadt Marienberg; 5856; Zöblitz; aktuell
Erzgebirgskreis; 14521440; Stadt Oberwiesenthal; 1116; Hammerunterwiesenthal; aktuell
Erzgebirgskreis; 14521440; Stadt Oberwiesenthal; 1125; Oberwiesenthal; aktuell
Erzgebirgskreis; 14521440; Stadt Oberwiesenthal; 1126; Unterwiesenthal; aktuell
Erzgebirgskreis; 14521450; Stadt Oelsnitz/Erzgeb.; 7618; Oberwürschnitz; aktuell
Erzgebirgskreis; 14521450; Stadt Oelsnitz/Erzgeb.; 7619; Neuwiese; aktuell
Erzgebirgskreis; 14521450; Stadt Oelsnitz/Erzgeb.; 7622; Oelsnitz; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5804; Blumenau; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5809; Dittmannsdorf; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5810; Dörnthal; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5811; Haselbach; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5816; Hallbach; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5817; Hutha; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5831; Olbernhau; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5832; Grünthal; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5833; Kleinneuschönberg; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5834; Niederneuschönberg; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5835; Oberneuschönberg; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5836; Reukersdorf; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5837; Pfaffroda; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5838; Schönfeld; aktuell
Erzgebirgskreis; 14521460; Stadt Olbernhau; 5845; Rothenthal; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5812; Forchheim; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5822; Lengefeld; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5823; Lippersdorf; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5840; Pockau; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5841; Görsdorf; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5842; Reifland; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5852; Wernsdorf; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5853; Nennigmühle; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5854; Wünschendorf; aktuell
Erzgebirgskreis; 14521495; Stadt Pockau-Lengefeld; 5855; Neunzehnhain; aktuell
Erzgebirgskreis; 14521510; Stadt Scheibenberg; 1124; Oberscheibe; aktuell
Erzgebirgskreis; 14521510; Stadt Scheibenberg; 1127; Scheibenberg; aktuell
Erzgebirgskreis; 14521520; Stadt Schlettau; 1110; Dörfel; aktuell
Erzgebirgskreis; 14521520; Stadt Schlettau; 1128; Schlettau; aktuell
Erzgebirgskreis; 14521530; Stadt Schneeberg; 1216; Lindenau; aktuell
Erzgebirgskreis; 14521530; Stadt Schneeberg; 1221; Schneeberg; aktuell
Erzgebirgskreis; 14521530; Stadt Schneeberg; 1222; Griesbach; aktuell
Erzgebirgskreis; 14521530; Stadt Schneeberg; 1223; Neustädtel; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7403; Bermsgrün; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7405; Erla; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7408; Grünstädtel; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7415; Pöhla; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7418; Schwarzenberg; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7419; Neuwelt; aktuell
Erzgebirgskreis; 14521550; Stadt Schwarzenberg/Erzgeb.; 7420; Wildenau; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7602; Beutha; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7603; Raum; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7623; Stollberg; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7624; Mitteldorf; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7625; Gablenz; aktuell
Erzgebirgskreis; 14521590; Stadt Stollberg/Erzgeb.; 7626; Oberdorf; aktuell
Erzgebirgskreis; 14521620; Stadt Thalheim/Erzgeb.; 7627; Thalheim; aktuell
Erzgebirgskreis; 14521640; Stadt Thum; 8810; Herold; aktuell
Erzgebirgskreis; 14521640; Stadt Thum; 8815; Jahnsbach; aktuell
Erzgebirgskreis; 14521640; Stadt Thum; 8821; Thum; aktuell
Erzgebirgskreis; 14521670; Stadt Wolkenstein; 8804; Falkenbach; aktuell
Erzgebirgskreis; 14521670; Stadt Wolkenstein; 8805; Gehringswalde; aktuell
Erzgebirgskreis; 14521670; Stadt Wolkenstein; 8811; Hilmersdorf; aktuell
Erzgebirgskreis; 14521670; Stadt Wolkenstein; 8819; Schönbrunn; aktuell
Erzgebirgskreis; 14521670; Stadt Wolkenstein; 8826; Wolkenstein; aktuell
Erzgebirgskreis; 14521690; Stadt Zschopau; 8816; Krumhermersdorf; aktuell
Erzgebirgskreis; 14521690; Stadt Zschopau; 8827; Zschopau; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 1230; Zwönitz; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 1231; Kühnhaide; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 1232; Lenkersdorf; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 1233; Niederzwönitz; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 7604; Brünlos; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 7605; Dorfchemnitz; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 7610; Hormersdorf; aktuell
Erzgebirgskreis; 14521710; Stadt Zwönitz; 7611; Günsdorf; aktuell
Erzgebirgskreis; 14521600; Stützengrün; 1213; Hundshübel; aktuell
Erzgebirgskreis; 14521600; Stützengrün; 1215; Lichtenau; aktuell
Erzgebirgskreis; 14521600; Stützengrün; 1226; Stützengrün; aktuell
Erzgebirgskreis; 14521610; Tannenberg; 1135; Tannenberg; aktuell
Erzgebirgskreis; 14521630; Thermalbad Wiesenbad; 1123; Neundorf; aktuell
Erzgebirgskreis; 14521630; Thermalbad Wiesenbad; 1130; Schönfeld; aktuell
Erzgebirgskreis; 14521630; Thermalbad Wiesenbad; 1137; Wiesa; aktuell
Erzgebirgskreis; 14521630; Thermalbad Wiesenbad; 1138; Wiesenbad; aktuell
Erzgebirgskreis; 14521700; Zschorlau; 1203; Albernau; aktuell
Erzgebirgskreis; 14521700; Zschorlau; 1210; Burkhardtsgrün; aktuell
Erzgebirgskreis; 14521700; Zschorlau; 1229; Zschorlau; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0101; Borna; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0102; Draisdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0103; Ebersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0104; Furth; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0105; Glösa; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0106; Heinersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0107; Hilbersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0108; Schloßchemnitz; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0109; Adelsberg; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0110; Altchemnitz; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0111; Bernsdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0112; Erfenschlag; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0113; Gablenz; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0114; Harthau; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0115; Helbersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0116; Markersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0117; Reichenhain; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0118; Altendorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0119; Kappel; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0120; Neustadt; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0121; Niederrabenstein; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0122; Oberrabenstein; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0123; Reichenbrand; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0124; Rottluff; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0125; Schönau; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0126; Siegmar; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0127; Stelzendorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 0128; Chemnitz; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2114; Einsiedel; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2115; Berbisdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2116; Euba; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2118; Grüna; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2123; Klaffenbach; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2124; Kleinolbersdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2125; Altenhain; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2131; Mittelbach; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2142; Röhrsdorf; aktuell
Kreisfreie Stadt Chemnitz; 14511000; Stadt Chemnitz; 2144; Wittgensdorf; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0201; Blasewitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0202; Briesnitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0203; Bühlau; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0204; Coschütz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0205; Cotta; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0206; Dobritz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0207; Dölzschen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0208; Altstadt I; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0209; Altstadt II; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0210; Friedrichstadt; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0211; Dresdner Heide; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0212; Neustadt; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0214; Gittersee; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0215; Gorbitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0216; Gostritz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0217; Großluga; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0218; Großzschachwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0219; Gruna; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0220; Hellerau; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0221; Hellerberge; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0222; Hosterwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0223; Kaditz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0225; Kaitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0226; Kemnitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0227; Kleinluga; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0228; Kleinpestitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0229; Kleinzschachwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0230; Klotzsche; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0231; Laubegast; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0232; Leuben; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0233; Leubnitz-Neuostra; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0234; Leutewitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0235; Lockwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0236; Löbtau; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0237; Loschwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0238; Meußlitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0239; Mickten; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0240; Mockritz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0241; Naußlitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0242; Nickern; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0243; Niederpoyritz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0244; Niedersedlitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0245; Oberpoyritz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0246; Omsewitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0247; Pieschen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0248; Pillnitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0249; Plauen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0250; Prohlis; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0251; Räcknitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0252; Reick; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0253; Rochwitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0254; Roßthal; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0255; Seidnitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0256; Söbrigen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0257; Sporbitz; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0258; Stetzsch; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0259; Strehlen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0260; Striesen; aktuell
Kreisfreie Stadt Dresden; 14612000; Stadt Dresden; 0261; Tolkewitz; aktuell
